Date,High,Low,Open,Close,Volume,Adj Close
2021-03-01,331.8500061035156,322.70001220703125,330.0,328.29998779296875,61190868,328.29998779296875
2021-03-02,347.20001220703125,326.45001220703125,331.1000061035156,345.75,127708761,345.75
2021-03-03,357.0,346.5,348.6499938964844,348.5,92006451,348.5
2021-03-04,345.3999938964844,337.29998779296875,339.0,339.20001220703125,59863169,339.20001220703125
2021-03-05,337.8500061035156,319.70001220703125,333.0,325.1499938964844,86738909,325.1499938964844
2021-03-08,331.75,318.79998779296875,331.75,321.25,81925952,321.25
2021-03-09,328.3500061035156,309.6000061035156,325.0,315.20001220703125,74702208,315.20001220703125
2021-03-10,324.45001220703125,316.70001220703125,319.5,321.45001220703125,58643853,321.45001220703125
2021-03-12,326.5,314.1499938964844,325.04998779296875,317.54998779296875,48360842,317.54998779296875
2021-03-15,320.3999938964844,310.04998779296875,320.0,318.54998779296875,45081385,318.54998779296875
2021-03-16,321.8999938964844,315.1000061035156,321.0,319.95001220703125,39267404,319.95001220703125
2021-03-17,320.0,304.0,318.6000061035156,305.79998779296875,47262481,305.79998779296875
2021-03-18,316.6000061035156,299.75,311.0,307.0,73731921,307.0
2021-03-19,311.0,290.20001220703125,303.5,308.95001220703125,109932681,308.95001220703125
2021-03-22,307.5,300.1000061035156,306.45001220703125,303.04998779296875,56385019,303.04998779296875
2021-03-23,312.25,304.0,305.0,307.3999938964844,60240483,307.3999938964844
2021-03-24,305.0,293.20001220703125,303.54998779296875,294.45001220703125,61523819,294.45001220703125
2021-03-25,294.0,282.25,294.0,285.54998779296875,84528317,285.54998779296875
2021-03-26,301.3999938964844,290.5,290.5,296.3999938964844,80924011,296.3999938964844
2021-03-30,301.29998779296875,292.70001220703125,300.5,297.04998779296875,45257233,297.04998779296875
2021-03-31,307.5,297.5,299.0,301.79998779296875,58569012,301.79998779296875
2021-04-01,309.8500061035156,303.04998779296875,306.75,307.75,44088352,307.75
2021-04-05,311.70001220703125,297.20001220703125,306.79998779296875,305.04998779296875,66178755,305.04998779296875
2021-04-06,313.79998779296875,304.79998779296875,306.1499938964844,307.75,63031783,307.75
2021-04-07,310.6499938964844,305.1000061035156,306.75,307.79998779296875,39073986,307.79998779296875
2021-04-08,319.79998779296875,307.5,307.8999938964844,313.95001220703125,62459774,313.95001220703125
2021-04-09,325.0,312.5,313.20001220703125,318.20001220703125,75462572,318.20001220703125
2021-04-12,307.8500061035156,282.8999938964844,307.8500061035156,286.54998779296875,105342538,286.54998779296875
2021-04-13,304.54998779296875,280.54998779296875,287.25,302.8500061035156,116874853,302.8500061035156
2021-04-15,307.54998779296875,296.5,303.0,303.5,75262749,303.5
2021-04-16,315.0,300.1499938964844,302.0,310.0,75330709,310.0
